Date,Open,High,Low,Close,Adj Close,Volume
2008-08-08,8.200000,8.500000,8.200000,8.300000,8.300000,5700
2008-08-11,8.200000,8.400000,8.200000,8.400000,8.400000,300
2008-08-12,8.200000,8.400000,7.800000,8.400000,8.400000,800
2008-08-13,8.000000,8.400000,7.500000,8.200000,8.200000,5700
2008-08-14,7.500000,8.900000,7.500000,8.500000,8.500000,9000
2008-08-15,8.000000,8.300000,7.900000,8.100000,8.100000,6800
2008-08-18,7.700000,7.900000,7.200000,7.400000,7.400000,2700
2008-08-19,7.500000,7.500000,6.600000,7.000000,7.000000,7700
2008-08-20,6.800000,7.500000,6.800000,7.500000,7.500000,700
2008-08-21,7.200000,8.500000,7.100000,8.100000,8.100000,5300
2008-08-22,8.500000,8.500000,7.500000,8.000000,8.000000,600
2008-08-25,7.500000,8.400000,7.200000,8.100000,8.100000,300
2008-08-26,7.700000,8.100000,7.600000,8.100000,8.100000,400
2008-08-27,7.700000,7.900000,7.600000,7.800000,7.800000,2600
2008-08-28,7.800000,7.800000,7.400000,7.700000,7.700000,500
2008-08-29,7.400000,7.500000,7.300000,7.400000,7.400000,1700
2008-09-02,7.200000,7.400000,7.000000,7.100000,7.100000,6900
2008-09-03,7.000000,7.000000,6.100000,6.400000,6.400000,20000
2008-09-04,7.000000,7.000000,5.900000,6.200000,6.200000,180200
2008-09-05,7.000000,7.000000,5.600000,5.900000,5.900000,30600
2008-09-08,5.800000,5.800000,4.900000,5.100000,5.100000,43400
2008-09-09,5.600000,6.200000,5.000000,5.900000,5.900000,18600
2008-09-10,6.100000,6.100000,4.500000,5.000000,5.000000,92500
2008-09-11,4.900000,5.200000,3.600000,4.300000,4.300000,75000
2008-09-12,4.500000,6.000000,3.900000,5.300000,5.300000,22300
2008-09-15,5.200000,5.300000,3.800000,3.800000,3.800000,12000
2008-09-16,4.100000,4.700000,3.900000,4.500000,4.500000,6200
2008-09-17,4.100000,4.800000,3.800000,4.000000,4.000000,9800
2008-09-18,4.300000,4.300000,3.800000,4.000000,4.000000,4400
2008-09-19,4.500000,4.500000,3.300000,3.900000,3.900000,48600
2008-09-22,3.800000,4.000000,3.300000,3.600000,3.600000,20300
2008-09-23,3.600000,3.800000,3.300000,3.600000,3.600000,9300
2008-09-24,3.800000,3.800000,3.100000,3.700000,3.700000,16100
